0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
,𘘦,𗪘,𗿖,𘃟,𗒝,𘀺,𗏡,𘌜,𗒫,𗕸,𗌵,𗋕,𘈩,𗛆,𗟧,𗫂,,,tśhjwo1,sji1,ŋiaa2,jwã1,mjĩ1,khja2,kụ1,pie1,gjiiw1,tśhjow1,kjow1,thja1,lew1,war2,rjir2,tja1,,,故,先,[顏 淵],,[閔 騫],,後,[伯 牛],,[仲 弓],,其,一,體,得,者，,,故先顏、閔而後伯牛、仲弓。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0602b6,,,,,,,,,,,,,,,,,
,2834,4310,1075,751,4911,1175,3612,1899,5009,3699,451,5251,5608,1.70E+53,4777,1955,,,𗯮,𗋕,𘈩,𗛆,𘜘,𗡶,𗫂,𘁟,𘘦,𗪘,𗟲,𘒣,𗏡,,𘅣,𘝞,,,thwuu1,thja1,lew1,war2,rjir1,śjij1,tja1,do2,tśhjwo1,sji1,ŋwuu1,dạ2,kụ1,---,dạ2,·jwɨr2,,,同；,其,一,體,得,所以,者，,異。,故,先,言,語,後,政,事,文,,其得一體則同，而其所以得一體則異，故先言語而後政事文學。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0602b7,,,,,,,,,,,,,,,,,,,3861,1365,4633,2054,3355,5343,691,2054,4777,4614,1,2054,451,5343,1232,4310,,,𗫦,𗅲,𗖸,𗔉,𗣼,𗳒,𗝾,𗔉,𘅣,𗖵,𗄈,𗔉,𗟲,𗳒,𗁦,𗋕,,,ɣiew1,tjɨ̣j2,ŋwuu1,tśhioow1,tśhja2,ŋwu2,tjɨ̣j1,tśhioow1,dạ2,bju1,sjwo1,tśhioow1,ŋwuu1,ŋwu2,bjịj1,thja1,,,學。,禮,曰：,或,德,以,進；,或,事,以,舉；,或,言,以,揚。,其,,禮曰 ：「或以德進，或以事舉，或以言揚。」其,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0602b8,,,,,,,,,,,,,,,,,,,2808,1175,2214,2020,1491,5087,3612,173,3861,451,5251,3615,3384,4105,312,X1562,,,𘐡,𗡶,𘌽,𗑠,𗅋,𘙰,𗫂,𗵘,𗫦,𗟲,𘒣,𗪟,𗨻,𘓐,𗟨,𗹒,,,tśjɨɨ1,śjij1,thjɨ2,rjir2,mji1,lew2,tja1,tśja1,ɣiew1,ŋwuu1,dạ2,ɣu1,we2,dzjwo2,lhjwi1,---,,,序,法,此,與,不,同,者，,道,學,言,語,先,PUT；,人,取,政,
序與此不同者，學道以言語為優，取人以政事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a1,,,,,,,,,,,,,,,,,,,4777,3615,3384,1724,4521,3604,3612,3509,2000,1738,170,4689,1724,4095,3612,3355,,,𘅣,𗪟,𗨻,𘕘,𘑲,𗧁,𗫂,𗥃,𗑟,𘂤,𘞿,𗈝,𘕘,𘓓,𗫂,𗣼,,,dạ2,ɣu1,we2,tsə1,tśjow1,rjijr2,tja1,ljɨɨr1,wjị1,kha1,wjij1,tsẹ̃1,tsə1,wəə1,tja1,tśhja2,
,事,先,PUT。,[子 張],,才,者，,四,友,中,與；,[曾 子],,孝,者，,德,,為先也。子張之才，與于四友 ；曾子之孝，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a2,,,,,,,,,,,,,,,,,,,2543,2020,1235,3509,4729,1738,1491,2777,3612,4310,3509,4729,5125,5676,74,590,,,𘝦,𗑠,𗹝,𗥃,𘄿,𘂤,𗅋,𘎪,𗫂,𗋕,𗥃,𘄿,𘓆,𗿳,𗀔,𗍫,
,dźjɨ̣2,rjir2,njij1,ljɨɨr1,tjij1,kha1,mji1,tshjiij1,tja1,thja1,ljɨɨr1,tjij1,ljɨ̣1,dzjɨj1,tśhjaa1,njɨɨ1,,,行,與,近。,四,科,間,不,稱,者，,其,{四,科,論},時,上， ,二,,幾於德行，而四科不稱之者，蓋論四科之時，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a3,,,,,,,,,,,,,,,,,,,1131,3604,375,457,5635,2422,4310,590,1131,3604,1491,457,1730,3509,4729,3905,
,𘈷,𗧁,𗷝,𘓳,𘔼,𘃞,𗋕,𗍫,𘈷,𗧁,𗅋,𘓳,𘂆,𗥃,𘄿,𗣲,,,gji2,rjijr2,mjij2,ŋowr2,nioow1,ljɨ1,thja1,njɨɨ1,gji2,rjijr2,mji1,ŋowr2,tsjɨ1,ljɨɨr1,tjij1,bio1,,,子,才,未,成,故,也。,其,二,子,才,不,成,猶；,四,科,？,,二子之才未成故也。夫以二子之才未成，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a4,,,,,,,,,,,,,,,,,
,1738,1491,170,5701,3167,3509,4729,3604,5125,2144,1642,3509,4729,5343,4105,312,,,𘂤,𗅋,𘞿,𗾶,𘊇,𗥃,𘄿,𗧁,𘓆,𗭴,𘉒,𗥃,𘄿,𗳒,𘓐,𗟨,,,kha1,mji1,wjij1,xju1,śjow1,ljɨɨr1,tjij1,rjijr2,ljɨ̣1,·jow1,mo2,ljɨɨr1,tjij1,ŋwu2,dzjwo2,lhjwi1,,,間,不,列。,[許 商],,四,科,才,論，,[王 莽],,四,科,以,人,取，,,猶不列於四科。彼許商以四科論士，王莾以四科取士，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0603a5,,,,,,,,,,,,,,,,,,,1251,1348,2422,4616,5722,1724,5714,1086,2114,3861,3612,451,2114,6,309,5009,,,𘉇,𗅔,𘃞,𗗂,𗿖,𘕘,𗾖,𗸱,𘋩,𗫦,𗫂,𗟲,𘋩,𗄊,𗟧,𘘦,,,dzew2,njaa2,ljɨ1,mo2,ŋiaa2,tsə1,goor1,no2,do2,ɣiew1,tja1,ŋwuu1,do2,zji2,rjir2,tśhjwo1,,,偽,非,也,乎。,[顏 子],,孔　子,,於,學,者，,言,於,皆,得。,故,,不亦偽哉。［顏子之學于孔子，盡得其言，故,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0603a6,,,,,,,,,,,,,,,,,,,5714,1086,451,2062,4724,1491,1629,3612,3510,2746,4633,3606,4614,2537,1629,3612,,,𗾖,𗸱,𗟲,𗓁,𘅍,𗅋,𘚻,𗫂,𗤋,𘐆,𗖸,𗥤,𗖵,𘎆,𘚻,𗫂,,,goor1,no2,ŋwuu1,mji1,zjịj1,mji1,de2,tja1,mjij1,la1,ŋwuu1,tsjij2,bju1,dźjwɨ1,de2,tja1,,,孔　子,,言,聞,時，,不,悅,者，,無。,記,曰：,解,以,相,悅 ,者，,
聞孔子之言無所不悅。〈學記〉曰 ：「相說以解。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a7,,,,,,,,,,,,,,,,,,,197,2422,1491,1629,3510,4139,3927,1446,3415,1730,3510,2422,3818,5539,1,2778,,,𘟂,𘃞,𗅋,𘚻,𗤋,𗌭,𗫸,𗆼,𗤄,𘂆,𗤋,𘃞,𗧓,𗉣,𗄈,𘏚,,,ŋwu2,ljɨ1,mji1,de2,mjij1,ku1,·jị2,·jiw2,·jɨr1,tsjɨ1,mjij1,ljɨ1,ŋa2,phji1,sjwo1,tjị2,
,是,也。,不,悅,無,則；,再,疑,問,亦,無,也。,我,意,生,處,,無不悅，則亦不再疑問，不可生吾意，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603a8,,,,,,,,,,,,,,,,,,,3510,5009,4633,3818,4523,1348,2422,,,,,,,,,,,,𗤋,𘘦,𗖸,𗧓,𘑨,𗅔,𘃞,,,,,,,,,,
,mjij1,tśhjwo1,ŋwuu1,ŋa2,·wu2,njaa2,ljɨ1,,,,,,,,,,,,無。,故,曰：,我,助,非,也。,,,,,,,,,,,故曰：「非助我者也。」］,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b1,,,,,,,,,,,,,,,,,,1086,4633,1776,1724,3059,3612,4095,2422,1999,245,3362,30,2114,1649,451,4351,2778,3510
𗸱,𗖸,𗒝,𘕘,𘀺,𗫂,𘓓,𘃞,𗔀,𗴺,𗤾,𘈎,𘋩,𘉑,𗟲,𘃽,𘏚,𗤋,no2,ŋwuu1,mjĩ1,tsə1,khja2,tja1,wəə1,ljɨ1,wja1,mja1,ljo2,tjọ2,do2,mjɨ1,ŋwuu1,·o2,tjị2,mjij1,子,曰：,「[閔 子 騫],,,者，,孝,也。,父,母,兄　弟,,處,人,言,間,處,無」 ,子曰：「孝哉，閔子騫！人不間於其父母昆弟之言。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b2,,,,,,,,,,,,,,,,,
,4095,3612,3355,5283,4484,3384,2543,1738,972,197,1776,1724,3059,4095,173,2417,,,𘓓,𗫂,𗣼,𗗙,𗰜,𗨻,𘝦,𘂤,𘜶,𘟂,𗒝,𘕘,𘀺,𘓓,𗵘,𘃪,,,wəə1,tja1,tśhja2,·jij1,mər2,we2,dźjɨ̣2,kha1,tha2,ŋwu2,mjĩ1,tsə1,khja2,wəə1,tśja1,dźjwa1,,,孝,者，,德,於,本,為；,形?,中,大,COP。,[閔 子 騫],,,孝,道,盡，,,孝於德為本，於形為大。閔子騫盡孝之道，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0603b3,,,,,,,,,,,,,,,,,,,116,4640,4688,3510,3838,197,2422,5009,1999,245,3362,30,2114,1649,451,2530,,,𗙋,𗖠,𗈄,𗤋,𗩱,𘟂,𘃞,𘘦,𗔀,𗴺,𗤾,𘈎,𘋩,𘉑,𗟲,𘖑,,,dzow1,ŋwej2,njɨɨ2,mjij1,njwi2,ŋwu2,ljɨ1,tśhjwo1,wja1,mja1,ljo2,tjọ2,do2,mjɨ1,ŋwuu1,mjɨ1,,,和　睦，,,怨,無，,能,是,也。,故,父,母,兄　弟,,處,人,言,不,,能和睦而無怨者也，故人不間於其父母兄弟之言。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0603b4,,,,,,,,,,,,,,,,,,,4351,4689,4167,4095,3612,1826,116,4640,4688,3510,2777,3346,2819,197,5009,2054,,,𘃽,𗈝,𗊿,𘓓,𗫂,𘕌,𗙋,𗖠,𗈄,𗤋,𘎪,𗦇,𗰁,𘟂,𘘦,𗔉,,,·o2,tsẹ̃1,śiẹ̃1,wəə1,tja1,twụ2,dzow1,ŋwej2,njɨɨ2,mjij1,tshjiij1,lew2,dźioow2,ŋwu2,tśhjwo1,tśhioow1,,,間。,[曾 參],,孝,者，,特,「和　睦，,,怨,無」,語，,　可,,COP。,故,或,
曾參之孝，特可語之以「和睦無怨」而已，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b5,,,,,,,,,,,,,,,,,,,4105,981,4979,4310,245,1446,1880,1018,1724,4633,1776,1724,3059,1999,245,5160,,,𘓐,𗜍,𘘥,𗋕,𗴺,𗆼,𗐪,𗛹,𘕘,𗖸,𗒝,𘕘,𘀺,𗔀,𗴺,𘒇,,,dzjwo2,sja1,·jɨ2,thja1,mja1,·jiw2,khjow2,tshow1,tsə1,ŋwuu1,mjĩ1,tsə1,khja2,wja1,mja1,tshji2,
,人,殺,告。,其,母,疑。,[亢 倉 子],,,曰：,[閔 子 騫],,,父,母,事，,,故或告其殺人而母疑之也。亢倉子曰：「閔子善事父母。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b6,,,,,,,,,,,,,,,,,,,3838,2000,2537,4310,4100,491,3890,1265,4310,1089,2777,3890,1360,4310,4614,4979,,,𗩱,𗑟,𘎆,𗋕,𘓟,𗡙,𗤳,𗎮,𗋕,𗸯,𘎪,𗤳,𗄬,𗋕,𗖵,𘘥,
,njwi2,wjị1,dźjwɨ1,thja1,dźiej2,·jow2,mə2,wjụ2,thja1,dźjwu1,tshjiij1,mə2,dzjɨj1,thja1,bju1,·jɨ2,,,能。,友,相,其,信,稱，,鄉　黨,,其,仁,稱，,宗　族,,其,弟,謂。,,交遊稱其信，鄉黨稱其仁，宗族稱其弟，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b7,,,,,,,,,,,,,,,,,,,3355,2543,4777,3612,460,2821,2114,2699,5009,1999,245,3362,30,2114,1649,451,
,𗣼,𘝦,𘅣,𗫂,𘓺,𗯴,𘋩,𘏋,𘘦,𗔀,𗴺,𗤾,𘈎,𘋩,𘉑,𗟲,,,tśhja2,dźjɨ̣2,dạ2,tja1,ŋwər1,khju1,do2,sə1,tśhjwo1,wja1,mja1,ljo2,tjọ2,do2,mjɨ1,ŋwuu1,,,德　行,,事,者，,天,下,於,溢。,故,父,母,兄　弟,,於,人,言,,德行之人溢於天下。」所以人不間於其父母兄弟之言也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603b8,,,,,,,,,,,,,,,,,
,2530,4351,4979,2422,,,,,,,,,,,,,,,𘖑,𘃽,𘘥,𘃞,,,,,,,,,,,,,,,mjɨ1,·o2,·jɨ2,ljɨ1,,,,,,,,,,,,,,,不,間,謂,也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604a1,,,,,,,,,,,,,,,,,,4012,1785,3914,4752,1718,3927,5714,1086,3362,5283,4336,3897,464,,,,,,𗽮,𗑁,𗥻,𘅧,𘕕,𗫸,𗾖,𗸱,𗤾,𗗙,𗕪,𗪯,𘓯,,,,,,na1,·jow2,phie1,kjwi1,sọ1,·jị2,goor1,no2,ljo2,·jij1,mjịj1,gji2,khjow1,,,,,,[南 容],,[白 圭],,三,復。,孔　子,,兄,於,女,子,授。,,,,,,南容三復白圭，孔子以其兄之子妻之。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0604a2,,,,,,,,,,,,,,,,,,,433,4633,1075,451,1348,3612,683,5233,1491,1436,1075,451,3081,3612,683,5233,,,𘈧,𗖸,𘈩,𗟲,𗅔,𗫂,𗟔,𘆝,𗅋,𗆭,𘈩,𗟲,𗟜,𗫂,𗟔,𘆝,,,deej1,ŋwuu1,lew1,ŋwuu1,njaa2,tja1,ko1,rjijr1,mji1,dźjiw1,lew1,ŋwuu1,dzjɨr1,tja1,ko1,rjijr1,,,傳,曰：,一,言,非,者，,駟　馬,,不,追；,一,言,急,者，,駟　馬,,
傳曰 ：「一言而非 ，駟馬勿追；一言而急，駟馬勿及。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604a3,,,,,,,,,,,,,,,,,,,2530,5201,5009,1273,1763,3909,2769,207,2386,5534,4694,226,1087,2746,2117,2214,,,𘖑,𘆥,𘘦,𗹦,𘕿,𗢯,𘐳,𗵫,𘂬,𗉔,𗇮,𗵒,𗸦,𘐆,𘋮,𘌽,,,mjɨ1,---,tśhjwo1,mə1,ɣa2,lhjwa1,---,gjịj1,·o1,tśjiw1,rar2,kiẹ1,dźjwu1,la1,·jar1,thjɨ2,
,不,及。,故,天,在,舌,卷,星,有；,[周],廟,金,人,銘,立。,此,,故在天有卷舌 之星，在周廟有金人之銘 。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604a4,,,,,,,,,,,,,,,,,,,451,3612,2840,3657,1091,3384,3744,3327,3109,197,1491,3893,2778,3510,2422,4012,,,𗟲,𗫂,𗯿,𗤨,𗸮,𗨻,𗧹,𗼖,𗺉,𘟂,𗅋,𗧗,𘏚,𗤋,𘃞,𗽮,
,ŋwuu1,tja1,wejr1,dźju2,wə1,we2,ŋjir1,ljo1,tśhji2,ŋwu2,mji1,tśhjwɨj1,tjị2,mjij1,ljɨ1,na1,,,言,者，,興,弱,主,為；,禍,福,本,COP。,不,慎,處,無,也。,[南],,是言者，榮辱之主，禍福之機，不可不慎也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604a5,,,,,,,,,,,,,,,,,,,1785,4243,5333,3914,4752,74,3671,1718,3927,3612,3893,3838,4979,2422,2214,5635,
,𗑁,𗊱,𘆖,𗥻,𘅧,𗀔,𗫡,𘕕,𗫸,𗫂,𗧗,𗩱,𘘥,𘃞,𘌽,𘔼,,,·jow2,dzjo2,tshjɨɨ1,phie1,kjwi1,tśhjaa1,njɨ2,sọ1,·jị2,tja1,tśhjwɨj1,njwi2,·jɨ2,ljɨ1,thjɨ2,nioow1,,,[容],詩,誦，,[白 圭],,上,至，,三,復,者，,「慎,能」,謂,也。,此,因，,,南容誦詩，至白圭而三復，可謂「能慎」矣。此所以,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604a6,,,,,,,,,,,,,,,,,
,1594,1491,173,1730,638,4558,1738,4811,2422,,,,,,,,,,𗂧,𗅋,𗵘 ,𘂆,𗍝,𗈙,𘂤,𗱉,𘃞,,,,,,,,,,lhjịj2,mji1,tśja1,tsjɨ1,·ioow1,tśjuu1,kha1,lhjij2,ljɨ1,,,,,,,,,,邦,不,道,亦；,刑　戮,,中,缺,也。,,,,,,,,,邦無道，免於刑戮。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604a7,,,,,,,,,,,,,,,,,,4752,1880,1724,3415,4859,1131,1738,3861,4638,4394,5714,1086,4196,4633,5722,3762,3612,,𘅧,𗐪,𘕘,𗤄,𘘝,𘈷,𘂤,𗫦,𗖶,𘟠,𗾖,𗸱,𗊬,𗖸,𗿖,𗦃,𗫂,,kjwi1,khjow2,tsə1,·jɨr1,dzjiij2,gji2,kha1,ɣiew1,sjwɨ1,dzu1,goor1,no2,kụ2,ŋwuu1,ŋiaa2,xwej2,tja1,,[季 康 子],,,問：,「弟　子,,間,學,孰,好」,孔　子,,答,曰：,「[顏 回],,者，,,季康子問：「弟子孰為好學？」孔子對曰：「有顏回者,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0604a8,,,,,,,,,,,,,,,,,,3861,4394,2934,197,1491,X1334,4677,2525,693,3144,3668,3510,2422,,,,,,𗫦,𘟠,𗇋,𘟂,𗅋,𘓧,𘗽,𘖎,𗞞,𗢏,𗫈,𗤋,𘃞,,,,,,ɣiew1,dzu1,mjijr2,ŋwu2,mji1,---,zjọ2,wjịj1,dja2,sji2,sjij1,mjij1,ljɨ1,,,,,,學,好,者,COP。,不,幸,命,短,△,死。,今,無,也」,,,,,
好學，不幸短命死矣，今也則亡。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b1,,,,,,,,,,,,,,,,,,,5714,1131,460,2821,2114,1136,2020,4872,5343,1899,5262,4614,2977,4139,2834,3709,,,𗾖,𘈷,𘓺,𗯴,𘋩,𘔮,𗑠,𘜄,𗳒,𘁟,𗗔,𗖵,𗭍,𗌭,𗯮,𗨁,,,goor1,gji2,ŋwər1,khju1,do2,war2,rjir2,ŋwer1,ŋwu2,do2,·jiij1,bju1,dźjịj1,ku1,thwuu1,phju2,
,君　子,,天,下,於,物,與,稱？,以,異。,平,隨,施,則；,同。,上,,君子之於天下，異之以稱物，同之以平施 。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b2,,,,,,,,,,,,,,,,,,,546,3552,2020,451,4724,3083,3083,1763,3671,501,546,3552,2020,451,4724,4640,,,𗠚,𗥑,𗑠,𗟲,𘅍,𗴣,𗴣,𘕿,𗫡,𗠡,𗠚,𗥑,𗑠,𗟲,𘅍,𗖠,
,thẹj2,xu1,rjir2,ŋwuu1,zjịj1,wər1,wər1,ɣa2,njɨ2,bjɨ1,thẹj2,xu1,rjir2,ŋwuu1,zjịj1,ŋwej2,,,[大 夫],,與,言,時；,誾　誾,,於,至。,下,[大 夫],,與,言,時；,侃,,與上大夫言至于誾誾 ，與下大夫言則侃侃 而已， ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b3,,,,,,,,,,,,,,,,,,,4640,659,2422,4310,2125,5283,4196,546,3552,2020,4872,447,2778,1567,4616,5009,
,𗖠,𗍊,𘃞,𗋕,𘋨,𗗙,𗊬,𗠚,𗥑,𗑠,𘜄,𗟻,𘏚,𗁁,𗗂,𘘦,,,ŋwej2,sju2,ljɨ1,thja1,dzjwɨ1,·jij1,kụ2,thẹj2,xu1,rjir2,ŋwer1,phji1,tjị2,wjij2,mo2,tśhjwo1,,,侃,然,也。,其,君,於,對,[大 夫],,與,?,令,可　以,,哉。,故,,對君與大夫可以同之哉。故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b4,,,,,,,,,,,,,,,,,
,2145,4101,5283,4196,3612,5679,4752,1880,1724,2114,4196,3612,5071,2422,,,,,𘕪,𘓖,𗗙,𗊬,𗫂,𗾟,𘅧,𗐪,𘕘,𘋩,𗊬,𗫂,𘓋,𘃞,,,,,ɣew1,kow1,·jij1,kụ2,tja1,wạ2,kjwi1,khjow2,tsə1,do2,kụ2,tja1,ljow2,ljɨ1,,,,,[哀],公,於,對,者，,詳；,[季 康 子],,,於,對,者，,略,也。,,,,對哀公則詳，對康子則畧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604b5,,,,,,,,,,,,,,,,,,5722,2427,5476,5722,3593,1086,2114,683,236,4806,2413,3773,1086,4633,3604,1491,3604,,𗿖,𘃟,𗈮,𗿖,𗥡,𗸱 ,𘋩,𗟔,𗴿,𗱄,𘃡,𗧠,𗸱,𗖸,𗧁,𗅋,𗧁,,ŋiaa2,·jwã1,ɣier1,ŋiaa2,lu2,no2,do2,ko1,kjụ1,thjɨ̣2,wji1,kiẹj2,no2,ŋwuu1,rjijr2,mji1,rjijr2,,[顏 淵],,死。,[顏 路],,子,於,車,請，,椁,為，,欲。,子,曰：,「才,不,才。,,顏淵死，顏路請子之車以為之椁。子曰：「才不才，,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0604b6,,,,,,,,,,,,,,,,,,4412,2816,1131,4979,2422,4784,5476,2612,5575,4918,4806,3510,4997,44,2942,5343,5423,,𘝵,𗯩,𘈷,𘘥,𘃞,𘝾,𗈮,𘝨,𗏷,𘟣,𗱄,𗤋,𘘮,𗄖,𘕂,𗳒,𗳱,,·jij1,twụ1,gji2,·jɨ2,ljɨ1,lji2,ɣier1,zjọ2,gjɨ2,dju1,thjɨ̣2,mjij1,mjo2,dźji-,dźjij1,ŋwu2,thja2,,　各,,子,言 ,也。,[鯉],死,時,棺,有，,椁,無。,吾,徒　行,,以,其,
亦各言其子也。鯉也死有棺而無椁。吾不徒行以為之椁。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b7,,,,,,,,,,,,,,,,,,5283,4806,1491,2413,4997,546,3552,2413,1763,1,1427,44,2942,2778,3510,2422,5722,,𗗙,𗱄,𗅋,𘃡,𘘮,𗠚,𗥑,𘃡,𘕿,𗄈,𗅉,𗄖,𘕂,𘏚,𗤋,𘃞,𗿖,,·jij1,thjɨ̣2,mji1,wji1,mjo2,thẹj2,xu1,wji1,ɣa2,sjwo1,nioow1,dźji-,dźjij1,tjị2,mjij1,ljɨ1,ŋiaa2,
於,椁,不,為。,吾,[大 夫],,為,於,自；,後,徒　行,,處,無,也。,[顏],,以吾從大夫之後，不可徒行也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604b8,,,,,,,,,,,,,,,,,,2427,5476,1086,4633,3161,1273,4997,5439,1273,4997,5439,5722,2427,5476,1086,2860,1427,,𘃟,𗈮,𗸱,𗖸,𘉮,𗹦,𘘮,𘒻,𗹦,𘘮,𘒻,𗿖,𘃟,𗈮,𗸱,𘝮,𗅉,
·jwã1,ɣier1,no2,ŋwuu1,phjij1,mə1,mjo2,ljwij1,mə1,mjo2,ljwij1,ŋiaa2,·jwã1,ɣier1,no2,lwụ1,nioow1,,[淵],死。,子,曰：,「噫,天,予,喪；,天,予,喪」,[顏 淵],,死。,子,哭,後,,顏淵死，子曰：「噫，天喪予，天喪予。」顏淵死，子哭之慟。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605a1,,,,,,,,,,,,,,,,,,4110,5160,2934,4633,1086,4110,2422,4633,4110,2422,4616,2214,29,5635,1491,4110,4139,
𘓠,𘒇,𗇋,𗖸,𗸱,𘓠,𘃞,𗖸,𘓠,𘃞,𗗂,𘌽,𘈑,𘔼,𗅋,𘓠,𗌭,,ɣa1,tshji2,mjijr2,ŋwuu1,no2,ɣa1,ljɨ1,ŋwuu1,ɣa1,ljɨ1,mo2,thjɨ2,mjɨr1,nioow1,mji1,ɣa1,ku1,,慟。,侍,者，,曰：,「子,慟,PRT」,曰：,「慟,PRT,乎。,此,人,為,不,慟,則；,,從者曰：「子慟矣。」曰：「有慟乎，非夫人之為慟而誰為。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605a2,,,,,,,,,,,,,,,,,
1427,4638,5283,4110,5722,2427,5476,2468,3485,3153,4305,2413,3773,1086,4633,1491,316,,𗅉,𗖶,𗗙,𘓠,𗿖,𘃟,𗈮,𘗠,𗣕,𗢣,𗊢,𘃡,𗧠,𗸱,𗖸,𗅋,𗟭 ,,nioow1,sjwɨ1,·jij1,ɣa1,ŋiaa2,·jwã1,ɣier1,ɣa1,wjị1,lhji2,ljɨɨ1,wji1,kiẹj2,no2,ŋwuu1,mji1,wo2,,後,誰,於,慟」,[顏 淵],,死。,門,人,葬,厚,為，,欲。,子,曰：,「不,可」,,顏淵死，門人欲厚葬之。子曰：「不可。」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0605a3,,,,,,,,,,,,,,,,,,2468,3485,3153,4305,5042,2413,1086,4633,3762,4997,164,1999,659,4997,1131,659,164,,𘗠,𗣕,𗢣,𗊢,𘙇,𘃡,𗸱,𗖸,𗦃,𘘮,𗵢,𗔀,𗍊,𘘮,𘈷,𗍊,𗵢,,ɣa1,wjị1,lhji2,ljɨɨ1,rjɨr2,wji1,no2,ŋwuu1,xwej2,mjo2,·ju2,wja1,sju2,mjo2,gji2,sju2,·ju2,,門,人,葬,厚,△,為。,子,曰：,[回],予,視,父,如；,吾,子,如,視,,門人厚葬之。子曰：「回也，視予猶父也，予不得 視猶子也；,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0605a4,,,,,,,,,,,,,,,,,,1491,4911,590,1718,1131,2543,2413,3818,1348,197,,,,,,,,,𗅋,𘜘,𗍫,𘕕,𘈷,𘝦,𘃡,𗧓,𗅔,𘟂,,,,,,,,,mji1,rjir1,njɨɨ1,sọ1,gji2,dźjɨ̣2,wji1,ŋa2,njaa2,ŋwu2,,,,,,,,,不,得。,二,三,子,行,為；,我,非,COP。,,,,,,,,
非我也，夫二三子也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605a5,,,,,,,,,,,,,,,,,,,5714,1131,4105,2114,3878,5343,4840,1491,3125,4840,5343,3878,1491,1729,3878,5343,,,𗾖,𘈷,𘓐,𘋩,𗧘,𗳒,𘘖,𗅋,𗏅,𘘖,𗳒,𗧘,𗅋,𘛓,𗧘,𗳒,,,goor1,gji2,dzjwo2,do2,wo2,ŋwu2,ljị2,mji1,·jwɨɨ1,ljị2,ŋwu2,wo2,mji1,bjiij1,wo2,ŋwu2,
